Username,Section,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7.8,Ch9,Ch10,Ch11,Ch12,Ch15I,Ch15II,Ch16,Ch17,Ch18,Ch19,Ch20,AvgCrtPct
AB13f0003,6,100,96.7741935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3870967741936
AB13f0184,6,97.1428571428571,100,93.75,94.4444444444444,100,100,94.2857142857143,100,95.2380952380952,96.969696969697,100,88.5714285714286,97.1428571428571,100,96.1538461538462,97.4358974358974,100,95.8333333333333,97.0537872621206
AB13f0010,6,100,96.7741935483871,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8413978494624
AB13f0221,6,100,100,93.75,94.4444444444444,100,100,91.4285714285714,100,88.0952380952381,93.9393939393939,100,88.5714285714286,100,95.6521739130435,100,97.4358974358974,100,95.8333333333333,96.6194711756306
AB13f0087,6,97.1428571428571,96.7741935483871,90.625,100,92.3076923076923,94.4444444444444,91.4285714285714,NA,NA,96.969696969697,100,88.5714285714286,97.1428571428571,100,100,97.4358974358974,100,100,96.4276649369895
AB13f0188,6,100,100,96.875,94.4444444444444,100,100,91.4285714285714,90.9090909090909,97.6190476190476,100,100,91.4285714285714,NA,95.6521739130435,96.1538461538462,87.1794871794872,100,95.8333333333333,96.3249156711433
AB13f0201,6,100,100,81.25,NA,92.3076923076923,94.4444444444444,98.5714285714286,100,100,93.9393939393939,100,94.2857142857143,94.2857142857143,91.304347826087,100,100,100,95.8333333333333,96.2483569996358
AB13f0185,6,100,96.7741935483871,84.375,94.4444444444444,96.1538461538462,94.4444444444444,91.4285714285714,100,97.6190476190476,93.9393939393939,87.5,91.4285714285714,100,100,100,92.3076923076923,100,87.5,94.8841780730222
AB13f0223,6,94.2857142857143,96.7741935483871,93.75,83.3333333333333,96.1538461538462,94.4444444444444,90.7142857142857,100,95.2380952380952,93.9393939393939,100,80,97.1428571428571,95.6521739130435,96.1538461538462,97.4358974358974,100,79.1666666666667,93.5658193316562
AB13f0196,6,100,96.7741935483871,90.625,68.5166666666667,100,88.8888888888889,94.2857142857143,100,97.6190476190476,84.8484848484848,100,88.5714285714286,100,82.6086956521739,100,89.7435897435898,100,100,93.4712061013545
AB13f0206,6,100,100,81.25,NA,96.1538461538462,100,85.7142857142857,100,100,96.969696969697,87.5,82.8571428571429,85.7142857142857,91.304347826087,100,82.051282051282,100,95.8333333333333,93.255777683527
AB13f0063,6,100,100,59.375,88.8888888888889,100,100,88.5714285714286,NA,73.8095238095238,90.9090909090909,100,100,91.4285714285714,100,100,94.8717948717949,100,95.8333333333333,93.1580959889783
AB13f0230,6,100,96.7741935483871,90.625,83.3333333333333,96.1538461538462,100,90.7142857142857,81.8181818181818,100,96.969696969697,87.5,82.8571428571429,94.2857142857143,100,92.3076923076923,79.4871794871795,100,95.8333333333333,92.7033111004885
AB13f0233,6,100,100,87.5,94.4444444444444,96.1538461538462,88.8888888888889,94.2857142857143,100,97.6190476190476,90.9090909090909,100,80,87.1428571428571,95.6521739130435,80.7692307692308,84.6153846153846,92.8571428571429,91.6666666666667,92.3613604591865
