Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T23,AvgCrtPct
AB14f0117,4,100,100,94.7368421052632,100,100,100,93.9393939393939,93.5483870967742,100,100,93.3333333333333,82.8571428571429,100,94.4444444444444,100,85.7142857142857,96.1608643431649
AB14f0086,4,100,100,94.7368421052632,100,90.9090909090909,100,96.969696969697,87.0967741935484,95,96.6666666666667,86.6666666666667,100,95.6521739130435,100,100,85.7142857142857,95.5882623211414
AB14f0008,4,NA,NA,94.7368421052632,NA,95.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0956937799043
AB14f0099,4,100,100,89.4736842105263,95,100,100,96.969696969697,83.8709677419355,100,100,100,91.4285714285714,100,91.6666666666667,80,92.8571428571429,95.0791706171587
AB14f0123,4,100,100,92.1052631578947,100,86.3636363636364,96.4285714285714,93.9393939393939,83.8709677419355,100,100,100,85.7142857142857,100,94.4444444444444,92.5,92.8571428571429,94.8889816029566
AB14f0001,4,94.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2857142857143
AB14f0124,4,100,100,94.7368421052632,100,95.4545454545455,92.8571428571429,96.969696969697,96.7741935483871,100,100,93.3333333333333,88.5714285714286,95.6521739130435,77.7777777777778,72.5,92.8571428571429,93.5927673367351
AB14f0045,4,100,100,NA,95,95.4545454545455,92.8571428571429,90.9090909090909,70.9677419354839,95,NA,100,NA,95.6521739130435,NA,NA,NA,93.5840695069307
AB14f0130,4,88.5714285714286,100,94.7368421052632,100,86.3636363636364,89.2857142857143,96.969696969697,96.7741935483871,97.5,96.6666666666667,93.3333333333333,88.5714285714286,100,94.4444444444444,97.5,71.4285714285714,93.2591222680357
AB14f0118,4,94.2857142857143,100,89.4736842105263,100,90.9090909090909,96.4285714285714,96.969696969697,90.3225806451613,97.5,86.6666666666667,93.3333333333333,100,82.6086956521739,94.4444444444444,80,85.7142857142857,92.4160477662291
AB14f0120,4,100,100,86.8421052631579,100,100,100,90.9090909090909,83.8709677419355,95,90,100,68.5714285714286,95.6521739130435,94.4444444444444,77.5,85.7142857142857,91.7815310348367
AB14f0155,4,100,100,81.5789473684211,100,95.4545454545455,100,90.9090909090909,87.0967741935484,95,93.3333333333333,100,88.5714285714286,95.6521739130435,88.8888888888889,87.5,64.2857142857143,91.7669310573759
AB14f0076,4,94.2857142857143,100,92.1052631578947,100,90.9090909090909,89.2857142857143,84.8484848484848,77.4193548387097,97.5,100,93.3333333333333,94.2857142857143,100,86.1111111111111,92.5,71.4285714285714,91.5007720302712
AB14f0158,4,100,100,78.9473684210526,90,95.4545454545455,92.8571428571429,93.9393939393939,87.0967741935484,97.5,93.3333333333333,100,82.8571428571429,95.6521739130435,88.8888888888889,67.5,85.7142857142857,90.6088155982736
AB14f0134,4,97.1428571428571,100,92.1052631578947,100,95.4545454545455,92.8571428571429,84.8484848484848,80.6451612903226,97.5,90,86.6666666666667,82.8571428571429,91.304347826087,94.4444444444444,77.5,78.5714285714286,90.1185928198136
AB14f0089,4,97.1428571428571,100,92.1052631578947,95,95.4545454545455,100,96.969696969697,90.3225806451613,95,96.6666666666667,80,88.5714285714286,86.9565217391304,88.8888888888889,60,78.5714285714286,90.1031173629812
AB14f0126,4,97.1428571428571,94.4444444444444,86.8421052631579,95,95.4545454545455,92.8571428571429,93.9393939393939,80.6451612903226,92.5,93.3333333333333,93.3333333333333,94.2857142857143,100,80.5555555555556,92.5,57.1428571428571,89.9985277526661
AB14f0108,4,100,100,94.7368421052632,60,81.8181818181818,92.8571428571429,93.9393939393939,93.5483870967742,95,96.6666666666667,93.3333333333333,88.5714285714286,95.6521739130435,94.4444444444444,67.5,85.7142857142857,89.6113925287474
AB14f0146,4,100,100,89.4736842105263,95,86.3636363636364,92.8571428571429,96.969696969697,93.5483870967742,85,83.3333333333333,93.3333333333333,82.8571428571429,95.6521739130435,88.8888888888889,70,78.5714285714286,89.4905530246842
AB14f0083,4,100,77.7777777777778,84.2105263157895,95,86.3636363636364,NA,90.9090909090909,90.3225806451613,97.5,76.6666666666667,86.6666666666667,97.1428571428571,93.4782608695652,86.1111111111111,90,85.7142857142857,89.1908973455072
AB14f0111,4,100,100,94.7368421052632,100,90.9090909090909,96.4285714285714,93.9393939393939,93.5483870967742,95,93.3333333333333,60,88.5714285714286,93.4782608695652,88.8888888888889,55,78.5714285714286,88.9003516071086
AB14f0107,4,100,100,78.9473684210526,95,77.2727272727273,92.8571428571429,87.8787878787879,93.5483870967742,95,96.6666666666667,86.6666666666667,77.1428571428572,82.6086956521739,88.8888888888889,92.5,71.4285714285714,88.5254224982694
AB14f0148,4,100,100,94.7368421052632,100,95.4545454545455,89.2857142857143,96.969696969697,87.0967741935484,92.5,80,80,88.5714285714286,82.6086956521739,94.4444444444444,67.5,64.2857142857143,88.3408659976581
AB14f0143,4,100,100,92.1052631578947,90,95.4545454545455,100,96.969696969697,83.8709677419355,85,96.6666666666667,80,82.8571428571429,86.9565217391304,88.8888888888889,62.5,71.4285714285714,88.2936415565296
AB14f0102,4,94.2857142857143,94.4444444444444,89.4736842105263,100,90.9090909090909,85.7142857142857,93.9393939393939,77.4193548387097,95,90,86.6666666666667,80,95.6521739130435,80.5555555555556,82.5,71.4285714285714,87.9993084941251
AB14f0160,4,100,94.4444444444444,78.9473684210526,90,63.6363636363636,96.4285714285714,96.969696969697,83.8709677419355,92.5,96.6666666666667,86.6666666666667,77.1428571428572,100,80.5555555555556,77.5,78.5714285714286,87.1187867028274
AB14f0098,4,100,94.4444444444444,71.0526315789474,95,68.1818181818182,96.4285714285714,93.9393939393939,80.6451612903226,87.5,90,86.6666666666667,97.1428571428571,95.6521739130435,86.1111111111111,82.5,64.2857142857143,86.8469089989307
AB14f0147,4,97.1428571428571,100,76.3157894736842,95,90.9090909090909,85.7142857142857,96.969696969697,67.741935483871,92.5,73.3333333333333,80,94.2857142857143,91.304347826087,91.6666666666667,70,85.7142857142857,86.7873752199733
AB14f0119,4,100,100,86.8421052631579,95,95.4545454545455,53.5714285714286,93.9393939393939,61.2903225806452,95,100,93.3333333333333,91.4285714285714,95.6521739130435,88.8888888888889,67.5,64.2857142857143,86.3866548536702
