Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T19,T20,T21,T22,T23,AvgCrtPct
20114s0138,6,100,100,94.2857142857143,85,88.8888888888889,93.3333333333333,100,76.6666666666667,97.5,89.2857142857143,92.8571428571429,77.1428571428572,91.304347826087,96.6666666666667,72.5,100,85.7142857142857,90.9090909090909,92.3076923076923,100,91.218120044207
20114s0135,6,100,85,91.4285714285714,100,77.7777777777778,100,96,90,97.5,96.4285714285714,78.5714285714286,80,82.6086956521739,90,82.5,88,92.8571428571429,63.6363636363636,84.6153846153846,92.8571428571429,88.4890539412279
20114s0136,6,97.1428571428571,100,88.5714285714286,90,100,96.6666666666667,96,90,92.5,75,78.5714285714286,NA,91.304347826087,93.3333333333333,97.5,84,92.8571428571429,63.6363636363636,76.9230769230769,71.4285714285714,88.1808008924714
20114s0144,6,97.1428571428571,95,91.4285714285714,75,83.3333333333333,93.3333333333333,92,83.3333333333333,95,85.7142857142857,100,14.2857142857143,100,96.6666666666667,97.5,84,85.7142857142857,100,92.3076923076923,85.7142857142857,87.3737179487179
20114s0128,6,88.5714285714286,100,88.5714285714286,90,83.3333333333333,90,84,90,92.5,92.8571428571429,92.8571428571429,85.7142857142857,95.6521739130435,86.6666666666667,67.5,80,88.0928571428571,63.6363636363636,92.3076923076923,92.8571428571429,87.2558829214264
20114s0132,6,NA,100,97.1428571428571,70,94.4444444444444,93.3333333333333,92,86.6666666666667,97.5,78.5714285714286,85.7142857142857,80,95.6521739130435,83.3333333333333,57.5,76,100,100,84.6153846153846,78.5714285714286,86.8971229634845
20114s0148,6,91.4285714285714,95,97.1428571428571,80,94.4444444444444,100,80,86.6666666666667,85,89.2857142857143,92.8571428571429,82.8571428571429,78.2608695652174,93.3333333333333,77.5,96,64.2857142857143,45.4545454545455,84.6153846153846,78.5714285714286,84.6351907754082
20114s0143,6,100,95,97.1428571428571,85,83.3333333333333,93.3333333333333,88,80,100,82.1428571428571,64.2857142857143,88.5714285714286,95.6521739130435,73.3333333333333,75,92,78.5714285714286,54.5454545454545,84.6153846153846,78.5714285714286,84.4549363679799
20114s0085,6,100,100,88.5714285714286,85,83.3333333333333,93.3333333333333,84,80,90,96.4285714285714,92.8571428571429,77.1428571428572,91.304347826087,80,60,NA,NA,45.4545454545455,84.6153846153846,NA,84.2377026213343
20114s0149,6,97.1428571428571,90,97.1428571428571,95,88.8888888888889,93.3333333333333,92,83.3333333333333,95,85.7142857142857,71.4285714285714,57.1428571428571,95.6521739130435,66.6666666666667,75,84,100,63.6363636363636,76.9230769230769,71.4285714285714,83.9716918347353
20114s0133,6,100,100,82.8571428571429,85,79.6277777777778,86.6666666666667,92,66.6666666666667,97.5,82.1428571428571,71.4285714285714,65.7142857142857,82.6086956521739,80,92.5,88,85.7142857142857,63.6363636363636,84.6153846153846,64.2857142857143,82.5482206078945
20114s0139,6,88.5714285714286,80,82.8571428571429,60,88.8888888888889,93.3333333333333,84,83.3333333333333,87.5,75,92.8571428571429,88.5714285714286,82.6086956521739,96.6666666666667,82.5,76,92.8571428571429,54.5454545454545,69.2307692307692,78.5714285714286,81.8946427968167
20114s0137,6,91.4285714285714,95,85.7142857142857,80,77.7777777777778,80,72,60,90,96.4285714285714,71.4285714285714,77.1428571428572,82.6086956521739,93.3333333333333,80,88,78.5714285714286,NA,NA,71.4285714285714,81.7145924392301
20114s0061,6,85.7142857142857,95,77.1428571428572,65,88.8888888888889,NA,NA,73.3333333333333,NA,85.7142857142857,100,77.1428571428572,91.304347826087,83.3333333333333,57.5,NA,NA,NA,NA,NA,81.6728490913274
20114s0040,6,94.2857142857143,100,71.4285714285714,80,NA,80,80,73.3333333333333,62.5,82.1428571428571,88.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2579365079365
20114s0150,6,94.2857142857143,95,82.8571428571429,85,83.3333333333333,93.3333333333333,96,80,90,78.5714285714286,85.7142857142857,62.8571428571429,65.2173913043478,76.6666666666667,72.5,92,85.7142857142857,36.3636363636364,76.9230769230769,78.5714285714286,80.5454433247912
20114s0067,6,94.2857142857143,85,74.2857142857143,85,83.3333333333333,60,92,76.6666666666667,87.5,67.8571428571429,78.5714285714286,74.2857142857143,82.6086956521739,73.3333333333333,NA,80,92.8571428571429,NA,NA,NA,80.4740553830228
20114s0145,6,100,100,80,85,77.7777777777778,83.3333333333333,76,66.6666666666667,90,89.2857142857143,85.7142857142857,77.1428571428572,86.9565217391304,73.3333333333333,75,92,64.2857142857143,54.5454545454545,76.9230769230769,71.4285714285714,80.2696653587958
20114s0134,6,100,100,82.8571428571429,85,77.7777777777778,80,88,60,87.5,92.8571428571429,85.7142857142857,68.5714285714286,82.6086956521739,96.6666666666667,65,84,78.5714285714286,45.4545454545455,61.5384615384615,78.5714285714286,80.0344502116241
