"student","semester","section","intro","categorical","quantitative","distributions","normality","scatterplots","regression","randomness","surveys","experiments","probability","proportions","ci_proportions","hyp_proportions","sampling","inference_means","more_intervals","compare_groups","average_score","intro_HANDIN","categorical_HANDIN","quantitative_HANDIN","distributions_HANDIN","normality_HANDIN","scatterplots_HANDIN","regression_HANDIN","randomness_HANDIN","surveys_HANDIN","experiments_HANDIN","probability_HANDIN","proportions_HANDIN","ci_proportions_HANDIN","hyp_proportions_HANDIN","sampling_HANDIN","inference_means_HANDIN","more_intervals_HANDIN","compare_groups_HANDIN"
"AB13f0003","13Fall","13Fall_6",100,96.7741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3870967741936,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0184","13Fall","13Fall_6",97.1428571428571,100,93.75,94.4444444444444,100,100,94.2857142857143,100,95.2380952380952,96.969696969697,100,88.5714285714286,100,96.1538461538462,97.1428571428571,97.4358974358974,100,95.8333333333333,97.0537872621206,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0010","13Fall","13Fall_6",100,96.7741935483871,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8413978494624,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0221","13Fall","13Fall_6",100,100,93.75,94.4444444444444,100,100,91.4285714285714,100,88.0952380952381,93.9393939393939,100,88.5714285714286,95.6521739130435,100,100,97.4358974358974,100,95.8333333333333,96.6194711756306,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0087","13Fall","13Fall_6",97.1428571428571,96.7741935483871,90.625,100,92.3076923076923,94.4444444444444,91.4285714285714,0,0,96.969696969697,100,88.5714285714286,100,100,97.1428571428571,97.4358974358974,100,100,96.4276649369895,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100
"AB13f0188","13Fall","13Fall_6",100,100,96.875,94.4444444444444,100,100,91.4285714285714,90.9090909090909,97.6190476190476,100,100,91.4285714285714,95.6521739130435,96.1538461538462,0,87.1794871794872,100,95.8333333333333,96.3249156711433,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100
"AB13f0201","13Fall","13Fall_6",100,100,81.25,0,92.3076923076923,94.4444444444444,98.5714285714286,100,100,93.9393939393939,100,94.2857142857143,91.304347826087,100,94.2857142857143,100,100,95.8333333333333,96.2483569996358,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0185","13Fall","13Fall_6",100,96.7741935483871,84.375,94.4444444444444,96.1538461538462,94.4444444444444,91.4285714285714,100,97.6190476190476,93.9393939393939,87.5,91.4285714285714,100,100,100,92.3076923076923,100,87.5,94.8841780730222,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0223","13Fall","13Fall_6",94.2857142857143,96.7741935483871,93.75,83.3333333333333,96.1538461538462,94.4444444444444,90.7142857142857,100,95.2380952380952,93.9393939393939,100,80,95.6521739130435,96.1538461538462,97.1428571428571,97.4358974358974,100,79.1666666666667,93.5658193316562,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0196","13Fall","13Fall_6",100,96.7741935483871,90.625,68.5166666666667,100,88.8888888888889,94.2857142857143,100,97.6190476190476,84.8484848484848,100,88.5714285714286,82.6086956521739,100,100,89.7435897435898,100,100,93.4712061013545,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0206","13Fall","13Fall_6",100,100,81.25,0,96.1538461538462,100,85.7142857142857,100,100,96.969696969697,87.5,82.8571428571429,91.304347826087,100,85.7142857142857,82.051282051282,100,95.8333333333333,93.255777683527,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0063","13Fall","13Fall_6",100,100,59.375,88.8888888888889,100,100,88.5714285714286,0,73.8095238095238,90.9090909090909,100,100,100,100,91.4285714285714,94.8717948717949,100,95.8333333333333,93.1580959889783,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0230","13Fall","13Fall_6",100,96.7741935483871,90.625,83.3333333333333,96.1538461538462,100,90.7142857142857,81.8181818181818,100,96.969696969697,87.5,82.8571428571429,100,92.3076923076923,94.2857142857143,79.4871794871795,100,95.8333333333333,92.7033111004885,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
